Designator,Mid X,Mid Y,Rotation,Layer
D1,58.5,-82.875,90.0,bottom
D10,112.5,-91.375,90.0,bottom
D11,130.5,-95.625,90.0,bottom
D12,148.5,-97.75,90.0,bottom
D13,58.5,-116.875,90.0,bottom
D14,76.5,-116.875,90.0,bottom
D15,94.5,-112.625,90.0,bottom
D16,112.5,-108.375,90.0,bottom
D17,130.5,-112.625,90.0,bottom
D18,148.5,-114.75,90.0,bottom
D19,122.30000037986858,-131.80000020027043,95.0,bottom
D2,76.5,-82.875,90.0,bottom
D20,142.7000015618406,-133.87499960183865,105.0,bottom
D21,157.49999922721446,-125.37499980637817,200.0,bottom
D3,94.5,-78.625,90.0,bottom
D4,112.5,-74.375,90.0,bottom
D5,130.5,-78.625,90.0,bottom
D6,148.5,-80.75,90.0,bottom
D7,58.5,-99.875,90.0,bottom
D8,76.5,-99.875,90.0,bottom
D9,94.5,-95.625,90.0,bottom
J1,162.4,-102.55,180.0,bottom
SW1,49.5,-78.625,0.0,top
SW10,103.5,-87.125,0.0,top
SW11,121.5,-91.375,0.0,top
SW12,139.5,-93.5,0.0,top
SW13,49.5,-112.625,0.0,top
SW14,67.5,-112.625,0.0,top
SW15,85.5,-108.375,0.0,top
SW16,103.5,-104.125,0.0,top
SW17,121.5,-108.375,0.0,top
SW18,139.5,-110.5,0.0,top
SW19,112.5,-127.5,0.0,top
SW2,67.5,-78.625,0.0,top
SW20,132.75,-129.625,350.0,top
SW21,152.4,-135.9,250.0,top
SW22,169.7,-116.9,110.0,bottom
SW23,171.4,-107.9,90.0,bottom
SW3,85.5,-74.375,0.0,top
SW4,103.5,-70.125,0.0,top
SW5,121.5,-74.375,0.0,top
SW6,139.5,-76.5,0.0,top
SW7,49.5,-95.625,0.0,top
SW8,67.5,-95.625,0.0,top
SW9,85.5,-91.375,0.0,top
